planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,output_tag,seed,budget,horizon,gamma,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,episode_true_return,episode_max_pocket_score,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_model_steps,episode_steps
uncertainty_mcts_240,-12.707535575208,-12.01701461596601,-12.017046459170293,3.184320428317733e-05,1.7966820870278845e-05,0.1865567952111684,3.795988826288638e-06,1.1331769783096367e-05,1.1331739608155745e-05,1.371714561914144,768.0,,,horizon_budget_sweep,h8_b768,2,768,8,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,151.0,152.0,0.847682119205298,1.0,-13.100671095121653,,
static_rollout_pool,-20.855251959162093,-20.855251959162093,-20.855756696539963,0.0005047373778701569,0.00045113951477463604,0.3813219892205028,4.865399156268833e-05,0.00041652419593305015,0.000416508461312541,0.6126413651993337,252.0,14.0,1.0,horizon_budget_sweep,h18_b256,0,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-25.088452095562815,-29.581861570594377,-29.583581443271758,0.0017198726773806072,0.0017103259252414622,0.3821373185964934,0.0004566741403788638,0.00023186700757656594,0.0002318672584930222,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,0,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.4,1.0,-28.170036845642183,,
uncertainty_mcts_240,-26.33375758654879,-29.581861570594377,-29.583581443271758,0.0017198726773806072,0.0017103259252414622,0.3821373185964934,0.0004566741403788638,0.00023186700757656594,0.0002318672584930222,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,0,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.4,1.0,-29.123276130888613,,
static_rollout_pool,-25.332961110976147,-25.332961110976147,-25.333736668574154,0.0007755575980077367,0.00030874243799337847,0.3812619265172312,6.404303238054143e-05,0.00016253658164632932,0.00016253015154718033,1.221407948738515,252.0,14.0,1.0,horizon_budget_sweep,h18_b256,1,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-24.33702412697624,-28.502118095589175,-28.502118109334486,1.3745310667445665e-08,4.440949539566084e-09,0.38108083916269503,1.1692692715583385e-09,1.8663627051774844e-10,1.8663626426666393e-10,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,1,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.26666666666666666,1.0,-27.98707074575261,,
uncertainty_mcts_240,-25.056253312469646,-28.502118095589175,-28.502118109334486,1.3745310667445665e-08,4.440949539566084e-09,0.38108083916269503,1.1692692715583385e-09,1.8663627051774844e-10,1.8663626426666393e-10,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,1,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.26666666666666666,1.0,-28.793841059930696,,
static_rollout_pool,-25.435838607580948,-25.435838607580948,-25.43587030906214,3.1701481191248604e-05,9.69979814064384e-06,0.3810866358679493,2.224087911915675e-06,2.6407559772321735e-06,2.6407071093870316e-06,1.4148512336364698,252.0,14.0,1.0,horizon_budget_sweep,h18_b256,2,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-25.116122972820822,-33.22015674566259,-33.22015674666429,1.0016947271651588e-09,2.937495320765038e-10,0.3810808366095624,7.736627218853336e-11,1.8663626426666393e-10,1.8663626426666393e-10,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,2,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.26666666666666666,1.0,-28.851725795170985,,
uncertainty_mcts_240,-25.835170496911083,-33.22015674566259,-33.22015674666429,1.0016947271651588e-09,2.937495320765038e-10,0.3810808366095624,7.736627218853336e-11,1.8663626426666393e-10,1.8663626426666393e-10,1.8681809334215997,256.0,,,horizon_budget_sweep,h18_b256,2,256,18,0.98,default9,9,1.25,1.15,0.22,0.55,base,,,15.0,16.0,0.26666666666666666,1.0,-29.658423729095002,,
